,10A Pocillopora damicornis,11A Pocillopora damicornis,12A Pocillopora damicornis,13 Acropora sp,14 Acropora sp,18 Porites sp,23 Acropora sp,24A Acropora sp,26 Acropora sp,28 Acropora sp,29 Acropora sp,2A Pocillopora damicornis,30A Montipora sp,31A Porites sp,32A Porites sp,33A Montipora sp,34A Montipora sp,35A Montipora sp,36A Montipora sp,3A Pocillopora damicornis,42A Porites sp,43A Pocillopora damicornis,46A Porites sp,47A Porites sp,47B Porites sp,48A Acropora sp,49A Acropora sp,4A Pocillopora damicornis,50A Acropora sp,6A Pocillopora damicornis,7A Porites sp,8A Montipora sp,9AMontipora sp
Zotu67,0,0,0,0,0,0,0,0,3.95256917,0,23.90438247,0,0,0,0,0,0,0,0,0,0,0,60,34.48275862,0,0,17269.23077,0,0,0,0,0,0
Zotu40,0,0,0,0,0,0,0,0,21924.90119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2915,0,0,0,0,0,0,0,0,3.95256917,0,0,0,0,0,0,0,0,7.936507937,0,0,0,0,0,0,0,4.545454545,6.41025641,0,0,4.87804878,0,0,0
Zotu37,37.59398496,0,0,0,0,52009.90099,0,0,0,0,0,0,0,0,0,0,0,0,0,1086.206897,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8239,33.83458647,0,0,28.98550725,0,0,0,8.547008547,3.95256917,0,47.80876494,0,24,0,0,0,0,47.61904762,0,0,0,0,0,0,0,0,0,0,22.72727273,0,0,0,30.76923077
Zotu1030,3.759398496,0,0,0,368.4210526,0,0,0,19.76284585,59.82905983,3.984063745,0,28,25,0,7.352941176,55.04587156,0,0,0,0,0,0,172.4137931,22.47191011,0,0,0,0,0,0,0,0
Zotu19,338.3458647,1571.428571,2017.857143,0,12342.10526,1673.267327,16456.52174,0,1292.490119,0,27.88844622,0,20,1112.5,149.7326203,117.6470588,0,928.5714286,1510.638298,2689.655172,0,0,4440,2137.931034,3662.921348,4022.727273,16365.38462,15166.66667,0,1819.512195,129600,121.9512195,1507.692308
Zotu185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.33333333,0,0,0,0,0
Zotu281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.936507937,0,0,0,0,7860,0,0,0,0,0,0,0,0,0,0
Zotu132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1813.636364,64.1025641,0,0,0,0,0,0
