,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,22 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42B Montipora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,49B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1812.030075,1159.167226
Zotu472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.456422357,4.802831143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.884825247,0.821536906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344098707,0.126390293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393255665,0.56875632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.605318783,2.970171891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu61,602.3842917,0,0,0,5.474264073,4.547935237,4.172291079,30.38238158,37.06879751,0,35.38937842,0,0,0,0,0,0.063195147,0,0,0,0,0,2.861230329,0,0,0,0,88.06978053,0,0,0,0,0
Zotu273,0,0,0,0,2.100189361,0,0,0,0,0,0,0,0,0,0,0,0,0.847457627,0,0.046842796,0,0.085128118,0,0,0,11.6713195,4.319567236,0.14068655,12.65518382,0,0,0,0
Zotu1484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.425551787,1.137512639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,587.2881356,582.1256039,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.737354373,0.252780586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.589883498,0.505561173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.491569582,0.505561173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.671336578,1.390293225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.393255665,0.252780586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
