,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,21 Acropora sp,22 Acropora sp,25A Porites sp,27 Acropora sp,2B Pocillopora damicornis,30B Montipora sp,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,36B Montipora sp,3B Pocillopora sp,42B Montipora sp,42C Montipora sp,43B Pocillopora damicornis,45 Porites sp,46B Porites sp,48B Acropora sp,5 Acropora sp,50B Acropora sp,6B Pocillopora damicornis,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu58,8232.142857,0,6961.904762,0,0,0,50.84745763,0,0,0,0,0,0,619.047619,0,0,0,0,0,0,0,0,873.5632184,0,0,518.2186235,0,0,0,0,0,0
Zotu2930,0,0,66.66666667,0,0,0,0,0,8.333333333,7.462686567,0,0,0,0,0,0,0,0,0,23.4375,0,0,0,0,0,0,0,0,0,0,0,0
Zotu353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4380.952381,0
Zotu39,1678.571429,0,0,0,60.86956522,1043.478261,576.2711864,10.1010101,4433.333333,798.5074627,9287.671233,86.95652174,0,0,500,62.5,171.0526316,0,0,7.8125,26.31578947,25.64102564,298.8505747,0,54.05405405,1858.299595,0,30,208.3333333,1647.540984,0,28.57142857
Zotu600,0,0,0,0,0,0,0,0,0,0,2821.917808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1031,0,0,0,11.11111111,0,0,0,10.1010101,0,0,0,0,9.523809524,0,0,0,0,0,0,0,0,0,28.73563218,0,0,0,19.84126984,0,0,0,0,0
Zotu254,0,0,0,0,0,0,0,0,0,0,0,0,9.523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu651,0,0,0,0,0,0,0,0,0,7.462686567,0,0,0,47.61904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3882,0,0,0,0,191.3043478,0,8.474576271,0,33.33333333,0,68.49315068,86.95652174,9.523809524,333.3333333,0,0,13.15789474,38.96103896,0,0,0,102.5641026,0,0,0,0,3.968253968,0,0,0,0,11.42857143
Zotu67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.63157895,0,11.49425287,0,0,0,0,20,0,0,0,0
Zotu40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2915,17.85714286,31.25,0,0,0,0,16.94915254,40.4040404,25,0,27.39726027,0,0,0,0,0,0,0,0,0,0,0,5.747126437,0,0,4.048582996,0,0,0,24.59016393,0,0
Zotu37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu8239,0,0,0,44.44444444,0,0,0,0,8.333333333,44.7761194,0,0,9.523809524,0,0,0,0,12.98701299,0,0,0,0,40.22988506,0,0,0,43.65079365,0,0,0,0,11.42857143
Zotu1030,0,0,380.952381,0,0,6.211180124,0,10.1010101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.98360656,0,0
Zotu19,4642.857143,0,0,0,1200,2608.695652,203.3898305,767.6767677,8183.333333,1074.626866,1520.547945,4840.57971,0,0,89000,62.5,2039.473684,0,958.3333333,1359.375,14763.15789,0,2149.425287,0,9486.486486,1137.651822,269.8412698,2580,41.66666667,909.8360656,2047.619048,4800
Zotu185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5434.42623,0,0
Zotu281,0,31.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.968253968,0,0,0,0,0
Zotu132,357.1428571,0,0,0,0,950.310559,796.6101695,393.9393939,8.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.5546559,0,2150,0,0,0,0
Zotu118,0,0,0,0,0,6.211180124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.968253968,0,0,0,0,0
Zotu1153,0,0,0,0,0,0,0,0,0,52.23880597,616.4383562,0,171.4285714,0,0,0,13.15789474,0,0,0,0,0,0,0,0,32.38866397,103.1746032,1370,0,98.36065574,0,0
Zotu1696,0,0,0,0,0,0,0,0,0,0,54.79452055,0,0,857.1428571,187.5,0,0,90.90909091,0,0,0,25.64102564,0,0,297.2972973,331.9838057,0,130,0,0,0,0
