,1 Acropora sp,10B Pocillopora damicornis,11B Pocillopora damicornis,12B Pocillopora damicornis,16 Acropora sp,17 Montipora sp,20 Montipora sp,22 Acropora sp,25A Porites sp,2B Pocillopora damicornis,31B Porites sp,32B Porites sp,33B Montipora sp,34B Montipora sp,35B Montipora sp,42B Montipora sp,43B Pocillopora damicornis,46B Porites sp,48B Acropora sp,49B Acropora sp,5 Acropora sp,50B Acropora sp,'7B Porites sp.',8B Montipora sp,9B Montipora sp
Zotu6424,0,0,0,0,0,0,0,0,0,0,0,0,30.3030303,0,0,0,0,0,0,13.15789474,0,0,0,0,0
Zotu210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu261,0,0,0,0,0,0,0,0,0,0,0,0,10.1010101,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1812,0,9.708737864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu592,0,0,0,0,0,0,0,0,0,0,0,0,0,25.86206897,0,0,0,0,3.460207612,0,0,13.51351351,0,0,0
Zotu632,0,0,0,0,0,0,0,0,0,0,0,0,0,8.620689655,0,15.625,0,0,3.460207612,0,0,0,0,0,0
Zotu3593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu2058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu4971,0,0,0,0,0,0,0,0,0,0,0,0,0,60.34482759,0,0,0,0,0,0,0,0,0,0,10.69518717
Zotu1156,0,19.41747573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1197,0,0,0,0,0,0,0,0,0,0,0,0,20.2020202,0,0,0,0,0,0,0,0,0,0,0,0
Zotu194,0,9.708737864,0,0,0,0,0,0,0,0,23.80952381,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu5259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu50,0,0,0,0,0,0,0,0,0,0,0,0,0,8.620689655,0,0,0,0,0,0,0,0,0,0,0
Zotu89,5000,2893.203883,19.04761905,89.10891089,285.7142857,210.5263158,147.7272727,571.4285714,71.42857143,862.0689655,166.6666667,38.96103896,111.1111111,224.137931,2591.397849,375,405.4054054,105.2631579,321.799308,434.2105263,969.6969697,364.8648649,565.2173913,542.3728814,165.7754011
Zotu571,0,9.708737864,0,0,0,0,0,0,0,0,0,0,0,60.34482759,0,0,0,0,17.30103806,0,0,27.02702703,86.95652174,0,0
Zotu253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu279,0,48.54368932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu7137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu91,180,0,0,0,42119.04762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,108.1081081,0,0,0
Zotu97,0,0,0,0,0,157.8947368,1079.545455,0,0,0,0,0,20.2020202,120.6896552,0,53703.125,0,0,0,0,0,0,0,728.8135593,0
Zotu6256,0,0,5.714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,16.04278075
Zotu121,0,0,0,0,0,21.05263158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu416,0,0,0,0,0,0,0,0,0,0,0,0,0,43.10344828,0,0,0,0,20.76124567,92.10526316,0,13.51351351,0,0,0
Zotu54,0,0,0,0,0,0,0,0,0,68.96551724,0,0,0,0,0,0,0,0,0,0,0,27.02702703,0,0,10.69518717
Zotu1504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.84083045,0,0,0,0,0,0
Zotu255,0,0,1.904761905,19.8019802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu1545,0,0,0,0,47.61904762,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu2522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu1853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.69518717
Zotu275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu455,0,0,1.904761905,9.900990099,0,52.63157895,56.81818182,20.40816327,23.80952381,0,0,0,50.50505051,146.5517241,75.2688172,78.125,27.02702703,0,24.22145329,65.78947368,90.90909091,54.05405405,0,16.94915254,37.43315508
Zotu11137,0,0,3.80952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu228,0,0,0,0,0,0,0,0,0,0,0,12.98701299,0,8.620689655,0,0,0,0,0,0,0,0,0,0,0
Zotu947,0,9.708737864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu180,0,0,0,0,0,0,0,20.40816327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu187,0,0,0,0,0,0,0,0,0,0,0,0,0,25.86206897,0,0,0,0,0,0,0,0,0,0,0
Zotu363,0,0,0,0,2166.666667,663.1578947,0,40.81632653,0,0,0,0,0,0,0,859.375,0,0,0,0,0,0,0,796.6101695,10.69518717
Zotu439,0,9.708737864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu288,0,0,0,0,0,0,0,0,0,0,0,0,0,17.24137931,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu936,360,0,0,0,0,42.10526316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,5.347593583
Zotu312,0,19.41747573,0,0,0,0,0,0,0,0,23.80952381,0,0,17.24137931,0,0,0,0,27.6816609,0,0,0,0,0,5.347593583
Zotu265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu7724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.15789474,0,0,0,0,0
Zotu617,0,0,765.7142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu52,0,0,0,0,0,0,0,0,0,0,0,12.98701299,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu200,0,0,0,0,0,0,0,0,0,0,0,0,0,60.34482759,0,0,0,0,0,0,0,0,0,0,0
Zotu146,0,0,0,0,0,0,0,0,0,0,0,25.97402597,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu240,0,0,0,0,0,0,0,0,0,0,23.80952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu1724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.625,0,0,6.920415225,0,0,0,0,0,0
Zotu78,0,0,0,0,0,0,11.36363636,0,0,0,0,0,0,60.34482759,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu101,0,29.12621359,0,0,0,63.15789474,0,0,0,0,0,0,0,250,0,0,0,0,10.38062284,0,0,0,0,0,0
Zotu344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu266,0,0,0,0,0,0,22.72727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu153,0,0,0,0,0,0,0,0,0,0,0,116.8831169,0,0,0,62.5,0,0,0,0,0,0,0,0,0
Zotu295,0,9.708737864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.47826087,0,0
Zotu144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu3437,0,0,85.71428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.69518717
Zotu1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu5571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.460207612,0,0,0,0,0,0
Zotu162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zotu270,0,0,0,0,0,0,0,0,0,0,0,0,0,86.20689655,0,0,0,0,0,0,0,0,0,0,5.347593583
Zotu206,0,0,0,0,0,0,0,0,0,0,0,0,10.1010101,0,0,15.625,0,0,0,0,0,0,0,0,0
