	Kingdom	Phylum	Class	Order	Family	Genus	Species	Isolate	Isolate_percent_id
Zotu9563	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Symphothece_pcc-7002			0
Zotu9564	Bacteria	Acidobacteriota	Acidobacteriae	Acidobacteriales	Acidobacteriaceae_(subgroup)	Acidipila			0
Zotu9565	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula			0
Zotu9566	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu9567	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu9568	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	Candidatus_amoebophilus			0
Zotu9569	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmata Marine_group_ii					0
Zotu957	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu9571	Bacteria	Cyanobacteria	Cyanobacteriia						0
Zotu9572	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Rubritalea			0
Zotu9573	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae				0
Zotu9574	Bacteria	Gemmatimonadota	Gemmatimonadota Bd2-11_terrestrial_group						0
Zotu9575	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu9576	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae				0
Zotu9577	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Ki89a_clade					0
Zotu9578	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	Nitrosococcaceae Fs142-36b-02			0
Zotu9579	Bacteria	Nb1-j							0
Zotu958	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Algisphaera			0
Zotu9580	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae				0
Zotu9581	Bacteria	Proteobacteria							0
Zotu9582	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiales Sm2d12				0
Zotu9583	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae				0
Zotu9584	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae				0
Zotu9585	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula			0
Zotu9586	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadia Pb19					0
Zotu9587	Bacteria	Bacteroidota	Kapabacteria	Kapabacteriales					0
Zotu9588	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Gimesiaceae				0
Zotu9589	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu959	Bacteria	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus			0
Zotu9590	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella			0
Zotu9591	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales					0
Zotu9592	Bacteria	Acidobacteriota	Acidobacteriae	Bryobacterales	Bryobacteraceae	Bryobacter			0
Zotu9593	Bacteria	Bacteroidota	Bacteroidia						0
Zotu9594	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda			0
Zotu9595	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium			0
Zotu9596	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae				0
Zotu9597	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales					0
Zotu9598	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus			0
Zotu9599	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae				0
Zotu960	Bacteria	Proteobacteria	Gammaproteobacteria	Granulosicoccales	Granulosicoccaceae	Granulosicoccus			0
Zotu9600	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae				0
Zotu9601	Bacteria	Proteobacteria	Alphaproteobacteria						0
Zotu9602	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales Dev007				0
Zotu9603	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae				0
Zotu9605	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	Ardenticatenaceae				0
Zotu9606	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae				0
Zotu9607	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae				0
Zotu9608	Bacteria	Bacteroidota	Bacteroidia						0
Zotu9609	Bacteria	Gemmatimonadota	Longimicrobia	Longimicrobiales	Longimicrobiaceae				0
Zotu961	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Gilvibacter			0
Zotu9610	Bacteria	Actinobacteriota	Actinobacteria	Corynebacteriales	Dietziaceae	Dietzia			0
Zotu9611	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae				0
Zotu9613	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula			0
Zotu9616	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium			0
Zotu9617	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales					0
Zotu9618	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiales Dev007				0
Zotu9619	Bacteria	Planctomycetota	Planctomycetota Bd7-11						0
Zotu962	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Microtrichaceae Sva0996_marine_group			0
Zotu9620	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae				0
Zotu9621	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Aureisphaera			0
Zotu9622	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales					0
Zotu9623	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae				0
Zotu9624	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas			0
Zotu9625	Bacteria								0
Zotu9626	Bacteria	Planctomycetota	Planctomycetota Om190						0
Zotu9627	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	Myxococcaceae P3ob-42			0
Zotu9628	Bacteria	Chloroflexi	Anaerolineae	Anaerolineae SBR1032	Anaerolineae SBR1031 A4b				0
Zotu9629	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae				0
Zotu963	Bacteria	Cyanobacteria	Cyanobacteriia	Phormidesmiales	Phormidesmiaceae	Acrophormium_pcc-7375			0
