	Kingdom	Phylum	Class	Order	Family	Genus	Species	OTU_ID	Isolate	Isolate_percent_id
Zotu6859	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6859	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6111	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA	Zotu6111	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3831	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3831	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu1495	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu1495	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7643	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7643	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8071	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA	Zotu8071	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu2984	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu2984	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu4601	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu4601	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3222	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA	Zotu3222	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7046	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7046	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8120	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8120	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5334	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA	Zotu5334	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu1780	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu1780	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu9048	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu9048	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5200	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5200	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3239	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3239	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu4579	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu4579	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5015	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5015	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3905	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3905	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5635	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5635	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6964	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6964	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5937	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5937	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu2946	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu2946	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3148	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3148	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7828	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7828	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7803	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7803	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3605	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3605	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7730	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7730	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6072	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6072	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6732	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6732	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6720	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6720	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8203	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8203	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu4310	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu4310	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu2491	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu2491	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu4317	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu4317	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8439	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8439	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5584	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5584	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5483	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5483	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6746	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6746	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5133	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5133	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6099	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6099	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3075	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3075	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6976	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA	Zotu6976	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5533	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA	Zotu5533	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7592	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7592	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu9197	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA	Zotu9197	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu4190	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu4190	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu4599	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu4599	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7438	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7438	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu2967	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu2967	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6705	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6705	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5475	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5475	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu4634	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu4634	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8298	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8298	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu4007	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu4007	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu4493	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu4493	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3943	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3943	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3926	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3926	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7756	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7756	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8979	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8979	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7528	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7528	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8084	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8084	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu9079	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA	Zotu9079	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu4706	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu4706	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8986	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8986	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8569	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8569	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8072	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8072	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6726	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	NA	Zotu6726	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3738	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3738	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7811	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7811	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8407	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8407	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu9037	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu9037	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6460	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6460	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5532	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5532	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7293	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7293	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3274	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3274	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3153	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3153	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5098	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5098	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7482	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7482	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5023	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5023	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3187	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3187	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6683	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6683	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6616	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6616	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3677	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3677	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu5073	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu5073	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8641	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8641	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7128	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7128	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6003	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6003	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu6489	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu6489	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu8421	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu8421	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7807	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7807	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu7013	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu7013	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
Zotu3610	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	NA	NA	Zotu3610	Mortierella_polycephala|KOD1062|||k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_polycephala	98.87
